Disk Read Operations/SecDisk Read Operations/Sec,ディスク読み取り操作数/秒Disk Read Operations/Sec,CountPerSecondCountPerSecond,平均Average,ディスク読み取り IOPSDisk Read IOPS,ディメンションなしNo Dimensions,,,,,,,
ディスク書き込み操作数/秒Disk Write Operations/Sec,ディスク書き込み操作数/秒Disk Write Operations/Sec,CountPerSecondCountPerSecond,平均Average,ディスク書き込み IOPSDisk Write IOPS,ディメンションなしNo Dimensions,,,,,,,
CPU Credits RemainingCPU Credits Remaining,未使用の CPU クレジットCPU Credits Remaining,CountCount,平均Average,バーストに使用できるクレジットの合計Total number of credits available to burst,ディメンションなしNo Dimensions,,,,,,,
CPU Credits ConsumedCPU Credits Consumed,使用済みの CPU クレジットCPU Credits Consumed,CountCount,平均Average,仮想マシンによって消費されたクレジットの合計数Total number of credits consumed by the Virtual Machine,ディメンションなしNo Dimensions,,,,,,,
Per Disk Read Bytes/secPer Disk Read Bytes/sec,データ ディスク読み取りバイト数/秒 (非推奨)Data Disk Read Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Write Bytes/secPer Disk Write Bytes/sec,データ ディスク書き込みバイト数/秒 (非推奨)Data Disk Write Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Read Operations/SecPer Disk Read Operations/Sec,データ ディスク読み取り操作数/秒 (非推奨)Data Disk Read Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Write Operations/SecPer Disk Write Operations/Sec,データ ディスク書き込み操作数/秒 (非推奨)Data Disk Write Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk QDPer Disk QD,データ ディスク QD (非推奨)Data Disk QD (Deprecated),CountCount,平均Average,データ ディスクのキューの深さ (またはキューの長さ)Data Disk Queue Depth(or Queue Length),SlotIdSlotId,,,,,,,
OS Per Disk Read Bytes/secOS Per Disk Read Bytes/sec,OS ディスク読み取りバイト数/秒 (非推奨)OS Disk Read Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Write Bytes/secOS Per Disk Write Bytes/sec,OS ディスク書き込みバイト数/秒 (非推奨)OS Disk Write Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Read Operations/SecOS Per Disk Read Operations/Sec,OS ディスク読み取り操作数/秒 (非推奨)OS Disk Read Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Write Operations/SecOS Per Disk Write Operations/Sec,OS ディスク書き込み操作数/秒 (非推奨)OS Disk Write Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk QDOS Per Disk QD,OS ディスク QD (非推奨)OS Disk QD (Deprecated),CountCount,平均Average,OS ディスクのキューの深さ (またはキューの長さ)OS Disk Queue Depth(or Queue Length),ディメンションなしNo Dimensions,,,,,,,
データ ディスク読み取りバイト数/秒Data Disk Read Bytes/sec,データ ディスク読み取りバイト数/秒 (プレビュー)Data Disk Read Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period,LUNLUN,,,,,,,
データ ディスク書き込みバイト数/秒Data Disk Write Bytes/sec,データ ディスク書き込みバイト数/秒 (プレビュー)Data Disk Write Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period,LUNLUN,,,,,,,
データ ディスク読み取り操作数/秒Data Disk Read Operations/Sec,データ ディスク読み取り操作数/秒 (プレビュー)Data Disk Read Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period,LUNLUN,,,,,,,
データ ディスク書き込み操作数/秒Data Disk Write Operations/Sec,データ ディスク書き込み操作数/秒 (プレビュー)Data Disk Write Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period,LUNLUN,,,,,,,
データ ディスクのキューの深さData Disk Queue Depth,データ ディスクのキューの深さ (プレビュー)Data Disk Queue Depth (Preview),CountCount,平均Average,データ ディスクのキューの深さ (またはキューの長さ)Data Disk Queue Depth(or Queue Length),LUNLUN,,,,,,,
OS ディスク読み取りバイト数/秒OS Disk Read Bytes/sec,OS ディスク読み取りバイト数/秒 (プレビュー)OS Disk Read Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS ディスク書き込みバイト数/秒OS Disk Write Bytes/sec,OS ディスク書き込みバイト数/秒 (プレビュー)OS Disk Write Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS ディスク読み取り操作数/秒OS Disk Read Operations/Sec,OS ディスク読み取り操作数/秒 (プレビュー)OS Disk Read Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS ディスク書き込み操作数/秒OS Disk Write Operations/Sec,OS ディスク書き込み操作数/秒 (プレビュー)OS Disk Write Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS ディスクのキューの深さOS Disk Queue Depth,OS ディスクのキューの深さ (プレビュー)OS Disk Queue Depth (Preview),CountCount,平均Average,OS ディスクのキューの深さ (またはキューの長さ)OS Disk Queue Depth(or Queue Length),ディメンションなしNo Dimensions,,,,,,,
受信フロー数Inbound Flows,受信フロー数 (プレビュー)Inbound Flows (Preview),CountCount,平均Average,受信フロー数は、受信方向の現在のフロー数です (VM に送信されるトラフィック)Inbound Flows are number of current flows in the inbound direction (traffic going into the VM),ディメンションなしNo Dimensions,,,,,,,
送信フロー数Outbound Flows,送信フロー数 (プレビュー)Outbound Flows (Preview),CountCount,平均Average,送信フロー数は、送信方向の現在のフロー数です (VM から送信されるトラフィック)Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM),ディメンションなしNo Dimensions,,,,,,,
受信フローの最大作成速度Inbound Flows Maximum Creation Rate,受信フローの最大作成速度 (プレビュー)Inbound Flows Maximum Creation Rate (Preview),CountPerSecondCountPerSecond,平均Average,受信フローの最大作成速度 (VM に送信されるトラフィック)The maximum creation rate of inbound flows (traffic going into the VM),ディメンションなしNo Dimensions,,,,,,,
送信フローの最大作成速度Outbound Flows Maximum Creation Rate,送信フローの最大作成速度 (プレビュー)Outbound Flows Maximum Creation Rate (Preview),CountPerSecondCountPerSecond,平均Average,送信フローの最大作成速度 (VM から送信されるトラフィック)The maximum creation rate of outbound flows (traffic going out of the VM),ディメンションなしNo Dimensions,,,,,,,
Premium データ ディスク キャッシュ読み取りヒットPremium Data Disk Cache Read Hit,Premium データ ディスク キャッシュ読み取りヒット (プレビュー)Premium Data Disk Cache Read Hit (Preview),PercentPercent,平均Average,Premium データ ディスク キャッシュ読み取りヒットPremium Data Disk Cache Read Hit,LUNLUN,,,,,,,
Premium データ ディスク キャッシュ読み取りミスPremium Data Disk Cache Read Miss,Premium データ ディスク キャッシュ読み取りミス (プレビュー)Premium Data Disk Cache Read Miss (Preview),PercentPercent,平均Average,Premium データ ディスク キャッシュ読み取りミスPremium Data Disk Cache Read Miss,LUNLUN,,,,,,,
Premium OS ディスク キャッシュ読み取りヒットPremium OS Disk Cache Read Hit,Premium OS ディスク キャッシュ読み取りヒット (プレビュー)Premium OS Disk Cache Read Hit (Preview),PercentPercent,平均Average,Premium OS ディスク キャッシュ読み取りヒットPremium OS Disk Cache Read Hit,ディメンションなしNo Dimensions,,,,,,,
Premium OS ディスク キャッシュ読み取りミスPremium OS Disk Cache Read Miss,Premium OS ディスク キャッシュ読み取りミス (プレビュー)Premium OS Disk Cache Read Miss (Preview),PercentPercent,平均Average,Premium OS ディスク キャッシュ読み取りミスPremium OS Disk Cache Read Miss,ディメンションなしNo Dimensions,,,,,,,
受信ネットワーク合計Network In Total,受信ネットワーク合計Network In Total,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが受信したバイト数 (受信トラフィック)The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),ディメンションなしNo Dimensions,,,,,,,
送信ネットワーク合計Network Out Total,送信ネットワーク合計Network Out Total,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが送信したバイト数 (送信トラフィック)The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Compute/virtualMachineScaleSetsMicrosoft.Compute/virtualMachineScaleSets,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
Percentage CPUPercentage CPU,CPU の割合Percentage CPU,PercentPercent,平均Average,仮想マシンで現在使用されている、割り当てられたコンピューティング ユニットの割合The percentage of allocated compute units that are currently in use by the Virtual Machine(s),VMNameVMName,,,,,,,
Network InNetwork In,課金対象の受信ネットワークNetwork In Billable,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが受信した課金対象のバイト数 (受信トラフィック)The number of billable bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),VMNameVMName,,,,,,,
ネットワーク送信Network Out,課金対象の送信ネットワークNetwork Out Billable,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが送信した課金対象のバイト数 (送信トラフィック)The number of billable bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),VMNameVMName,,,,,,,
Disk Read BytesDisk Read Bytes,ディスク読み取りバイト数Disk Read Bytes,BytesBytes,合計Total,監視期間中にディスクから読み取られたバイト数Bytes read from disk during monitoring period,VMNameVMName,,,,,,,
Disk Write BytesDisk Write Bytes,ディスク書き込みバイト数Disk Write Bytes,BytesBytes,合計Total,監視期間中にディスクに書き込まれたバイト数Bytes written to disk during monitoring period,VMNameVMName,,,,,,,
Disk Read Operations/SecDisk Read Operations/Sec,ディスク読み取り操作数/秒Disk Read Operations/Sec,CountPerSecondCountPerSecond,平均Average,ディスク読み取り IOPSDisk Read IOPS,VMNameVMName,,,,,,,
ディスク書き込み操作数/秒Disk Write Operations/Sec,ディスク書き込み操作数/秒Disk Write Operations/Sec,CountPerSecondCountPerSecond,平均Average,ディスク書き込み IOPSDisk Write IOPS,VMNameVMName,,,,,,,
未使用の CPU クレジットCPU Credits Remaining,未使用の CPU クレジットCPU Credits Remaining,CountCount,平均Average,バーストに使用できるクレジットの合計Total number of credits available to burst,ディメンションなしNo Dimensions,,,,,,,
CPU Credits ConsumedCPU Credits Consumed,使用済みの CPU クレジットCPU Credits Consumed,CountCount,平均Average,仮想マシンによって消費されたクレジットの合計数Total number of credits consumed by the Virtual Machine,ディメンションなしNo Dimensions,,,,,,,
Per Disk Read Bytes/secPer Disk Read Bytes/sec,データ ディスク読み取りバイト数/秒 (非推奨)Data Disk Read Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Write Bytes/secPer Disk Write Bytes/sec,データ ディスク書き込みバイト数/秒 (非推奨)Data Disk Write Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Read Operations/SecPer Disk Read Operations/Sec,データ ディスク読み取り操作数/秒 (非推奨)Data Disk Read Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk Write Operations/SecPer Disk Write Operations/Sec,データ ディスク書き込み操作数/秒 (非推奨)Data Disk Write Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period,SlotIdSlotId,,,,,,,
Per Disk QDPer Disk QD,データ ディスク QD (非推奨)Data Disk QD (Deprecated),CountCount,平均Average,データ ディスクのキューの深さ (またはキューの長さ)Data Disk Queue Depth(or Queue Length),SlotIdSlotId,,,,,,,
OS Per Disk Read Bytes/secOS Per Disk Read Bytes/sec,OS ディスク読み取りバイト数/秒 (非推奨)OS Disk Read Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Write Bytes/secOS Per Disk Write Bytes/sec,OS ディスク書き込みバイト数/秒 (非推奨)OS Disk Write Bytes/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Read Operations/SecOS Per Disk Read Operations/Sec,OS ディスク読み取り操作数/秒 (非推奨)OS Disk Read Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk Write Operations/SecOS Per Disk Write Operations/Sec,OS ディスク書き込み操作数/秒 (非推奨)OS Disk Write Operations/Sec (Deprecated),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period for OS disk,ディメンションなしNo Dimensions,,,,,,,
OS Per Disk QDOS Per Disk QD,OS ディスク QD (非推奨)OS Disk QD (Deprecated),CountCount,平均Average,OS ディスクのキューの深さ (またはキューの長さ)OS Disk Queue Depth(or Queue Length),ディメンションなしNo Dimensions,,,,,,,
データ ディスク読み取りバイト数/秒Data Disk Read Bytes/sec,データ ディスク読み取りバイト数/秒 (プレビュー)Data Disk Read Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period,"LUN、VMNameLUN, VMName",,,,,,,
データ ディスク書き込みバイト数/秒Data Disk Write Bytes/sec,データ ディスク書き込みバイト数/秒 (プレビュー)Data Disk Write Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period,"LUN、VMNameLUN, VMName",,,,,,,
データ ディスク読み取り操作数/秒Data Disk Read Operations/Sec,データ ディスク読み取り操作数/秒 (プレビュー)Data Disk Read Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period,"LUN、VMNameLUN, VMName",,,,,,,
データ ディスク書き込み操作数/秒Data Disk Write Operations/Sec,データ ディスク書き込み操作数/秒 (プレビュー)Data Disk Write Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period,"LUN、VMNameLUN, VMName",,,,,,,
データ ディスクのキューの深さData Disk Queue Depth,データ ディスクのキューの深さ (プレビュー)Data Disk Queue Depth (Preview),CountCount,平均Average,データ ディスクのキューの深さ (またはキューの長さ)Data Disk Queue Depth(or Queue Length),"LUN、VMNameLUN, VMName",,,,,,,
OS ディスク読み取りバイト数/秒OS Disk Read Bytes/sec,OS ディスク読み取りバイト数/秒 (プレビュー)OS Disk Read Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクから読み取られたバイト数/秒Bytes/Sec read from a single disk during monitoring period for OS disk,VMNameVMName,,,,,,,
OS ディスク書き込みバイト数/秒OS Disk Write Bytes/sec,OS ディスク書き込みバイト数/秒 (プレビュー)OS Disk Write Bytes/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中に 1 つのディスクに書き込まれたバイト数/秒Bytes/Sec written to a single disk during monitoring period for OS disk,VMNameVMName,,,,,,,
OS ディスク読み取り操作数/秒OS Disk Read Operations/Sec,OS ディスク読み取り操作数/秒 (プレビュー)OS Disk Read Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの読み取り IOPSRead IOPS from a single disk during monitoring period for OS disk,VMNameVMName,,,,,,,
OS ディスク書き込み操作数/秒OS Disk Write Operations/Sec,OS ディスク書き込み操作数/秒 (プレビュー)OS Disk Write Operations/Sec (Preview),CountPerSecondCountPerSecond,平均Average,OS ディスクの監視期間中の 1 つのディスクからの書き込み IOPSWrite IOPS from a single disk during monitoring period for OS disk,VMNameVMName,,,,,,,
OS ディスクのキューの深さOS Disk Queue Depth,OS ディスクのキューの深さ (プレビュー)OS Disk Queue Depth (Preview),CountCount,平均Average,OS ディスクのキューの深さ (またはキューの長さ)OS Disk Queue Depth(or Queue Length),VMNameVMName,,,,,,,
受信フロー数Inbound Flows,受信フロー数 (プレビュー)Inbound Flows (Preview),CountCount,平均Average,受信フロー数は、受信方向の現在のフロー数です (VM に送信されるトラフィック)Inbound Flows are number of current flows in the inbound direction (traffic going into the VM),VMNameVMName,,,,,,,
送信フロー数Outbound Flows,送信フロー数 (プレビュー)Outbound Flows (Preview),CountCount,平均Average,送信フロー数は、送信方向の現在のフロー数です (VM から送信されるトラフィック)Outbound Flows are number of current flows in the outbound direction (traffic going out of the VM),VMNameVMName,,,,,,,
受信フローの最大作成速度Inbound Flows Maximum Creation Rate,受信フローの最大作成速度 (プレビュー)Inbound Flows Maximum Creation Rate (Preview),CountPerSecondCountPerSecond,平均Average,受信フローの最大作成速度 (VM に送信されるトラフィック)The maximum creation rate of inbound flows (traffic going into the VM),VMNameVMName,,,,,,,
送信フローの最大作成速度Outbound Flows Maximum Creation Rate,送信フローの最大作成速度 (プレビュー)Outbound Flows Maximum Creation Rate (Preview),CountPerSecondCountPerSecond,平均Average,送信フローの最大作成速度 (VM から送信されるトラフィック)The maximum creation rate of outbound flows (traffic going out of the VM),VMNameVMName,,,,,,,
Premium データ ディスク キャッシュ読み取りヒットPremium Data Disk Cache Read Hit,Premium データ ディスク キャッシュ読み取りヒット (プレビュー)Premium Data Disk Cache Read Hit (Preview),PercentPercent,平均Average,Premium データ ディスク キャッシュ読み取りヒットPremium Data Disk Cache Read Hit,"LUN、VMNameLUN, VMName",,,,,,,
Premium データ ディスク キャッシュ読み取りミスPremium Data Disk Cache Read Miss,Premium データ ディスク キャッシュ読み取りミス (プレビュー)Premium Data Disk Cache Read Miss (Preview),PercentPercent,平均Average,Premium データ ディスク キャッシュ読み取りミスPremium Data Disk Cache Read Miss,"LUN、VMNameLUN, VMName",,,,,,,
Premium OS ディスク キャッシュ読み取りヒットPremium OS Disk Cache Read Hit,Premium OS ディスク キャッシュ読み取りヒット (プレビュー)Premium OS Disk Cache Read Hit (Preview),PercentPercent,平均Average,Premium OS ディスク キャッシュ読み取りヒットPremium OS Disk Cache Read Hit,VMNameVMName,,,,,,,
Premium OS ディスク キャッシュ読み取りミスPremium OS Disk Cache Read Miss,Premium OS ディスク キャッシュ読み取りミス (プレビュー)Premium OS Disk Cache Read Miss (Preview),PercentPercent,平均Average,Premium OS ディスク キャッシュ読み取りミスPremium OS Disk Cache Read Miss,VMNameVMName,,,,,,,
受信ネットワーク合計Network In Total,受信ネットワーク合計Network In Total,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが受信したバイト数 (受信トラフィック)The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),VMNameVMName,,,,,,,
送信ネットワーク合計Network Out Total,送信ネットワーク合計Network Out Total,BytesBytes,合計Total,すべてのネットワーク インターフェイスで仮想マシンが送信したバイト数 (送信トラフィック)The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),VMNameVMName,,,,,,,
,,,,,,,,,,,,
Microsoft.ContainerInstance/containerGroupsMicrosoft.ContainerInstance/containerGroups,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
CpuUsageCpuUsage,CPU 使用率CPU Usage,CountCount,平均Average,すべてのコアの CPU 使用率 (ミリコア単位)。CPU usage on all cores in millicores.,containerNamecontainerName,,,,,,,
MemoryUsageMemoryUsage,メモリ使用量Memory Usage,BytesBytes,平均Average,合計メモリ使用量 (バイト単位)。Total memory usage in byte.,containerNamecontainerName,,,,,,,
NetworkBytesReceivedPerSecondNetworkBytesReceivedPerSecond,1 秒あたりの受信ネットワーク バイト数Network Bytes Received Per Second,BytesBytes,平均Average,1 秒あたりの受信ネットワーク バイト数。The network bytes received per second.,ディメンションなしNo Dimensions,,,,,,,
NetworkBytesTransmittedPerSecondNetworkBytesTransmittedPerSecond,1 秒あたりの送信ネットワーク バイト数Network Bytes Transmitted Per Second,BytesBytes,平均Average,1 秒あたりの送信ネットワーク バイト数。The network bytes transmitted per second.,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.ContainerRegistry/registriesMicrosoft.ContainerRegistry/registries,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
TotalPullCountTotalPullCount,プルの合計数Total Pull Count,CountCount,平均Average,イメージのプルの合計数Number of image pulls in total,ディメンションなしNo Dimensions,,,,,,,
SuccessfulPullCountSuccessfulPullCount,成功したプルの数Successful Pull Count,CountCount,平均Average,成功したイメージ プルの数Number of successful image pulls,ディメンションなしNo Dimensions,,,,,,,
TotalPushCountTotalPushCount,合計のプッシュ数Total Push Count,CountCount,平均Average,イメージのプッシュの合計数Number of image pushes in total,ディメンションなしNo Dimensions,,,,,,,
SuccessfulPushCountSuccessfulPushCount,成功したプッシュの数Successful Push Count,CountCount,平均Average,成功したイメージ プッシュの数Number of successful image pushes,ディメンションなしNo Dimensions,,,,,,,
RunDurationRunDuration,実行継続時間Run Duration,ミリ秒Milliseconds,合計Total,実行継続時間 (ミリ秒単位)Run Duration in milliseconds,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.ContainerService/managedClustersMicrosoft.ContainerService/managedClusters,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
kube_node_status_allocatable_cpu_coreskube_node_status_allocatable_cpu_cores,マネージド クラスターで使用可能な CPU コアの合計数Total number of available cpu cores in a managed cluster,CountCount,合計Total,マネージド クラスターで使用可能な CPU コアの合計数Total number of available cpu cores in a managed cluster,ディメンションなしNo Dimensions,,,,,,,
kube_node_status_allocatable_memory_byteskube_node_status_allocatable_memory_bytes,マネージド クラスターで使用可能なメモリの合計量Total amount of available memory in a managed cluster,BytesBytes,合計Total,マネージド クラスターで使用可能なメモリの合計量Total amount of available memory in a managed cluster,ディメンションなしNo Dimensions,,,,,,,
kube_pod_status_readykube_pod_status_ready,準備完了状態のポッドの数Number of pods in Ready state,CountCount,合計Total,準備完了状態のポッドの数Number of pods in Ready state,"namespace、podnamespace, pod",,,,,,,
kube_node_status_conditionkube_node_status_condition,さまざまなノードの状態の条件Statuses for various node conditions,CountCount,合計Total,さまざまなノードの状態の条件Statuses for various node conditions,"condition、status、status2、nodecondition, status, status2, node",,,,,,,
kube_pod_status_phasekube_pod_status_phase,フェーズごとのポッドの数Number of pods by phase,CountCount,合計Total,フェーズごとのポッドの数Number of pods by phase,"phase、namespace、podphase, namespace, pod",,,,,,,
,,,,,,,,,,,,
Microsoft.CustomerInsights/hubsMicrosoft.CustomerInsights/hubs,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
DCIApiCallsDCIApiCalls,Customer Insights API Calls (Customer Insights API 呼び出し)Customer Insights API Calls,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIMappingImportOperationSuccessfulLinesDCIMappingImportOperationSuccessfulLines,Mapping Import Operation Successful Lines (マッピングのインポート操作に成功した行数)Mapping Import Operation Successful Lines,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIMappingImportOperationFailedLinesDCIMappingImportOperationFailedLines,Mapping Import Operation Failed Lines (マッピングのインポート操作に失敗した行数)Mapping Import Operation Failed Lines,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIMappingImportOperationTotalLinesDCIMappingImportOperationTotalLines,Mapping Import Operation Total Lines (マッピングのインポート操作の合計行数)Mapping Import Operation Total Lines,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIMappingImportOperationRuntimeInSecondsDCIMappingImportOperationRuntimeInSeconds,Mapping Import Operation Runtime In Seconds (マッピングのインポート操作の実行時間 (秒))Mapping Import Operation Runtime In Seconds,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundProfileExportSucceededDCIOutboundProfileExportSucceeded,Outbound Profile Export Succeeded (成功した送信プロファイルのエクスポート)Outbound Profile Export Succeeded,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundProfileExportFailedDCIOutboundProfileExportFailed,Outbound Profile Export Failed (失敗した送信プロファイルのエクスポート)Outbound Profile Export Failed,CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
DCIOutboundProfileExportDurationDCIOutboundProfileExportDuration,Outbound Profile Export Duration (送信プロファイルのエクスポート時間)Outbound Profile Export Duration,SecondsSeconds,合計Total,,ディメンションなしNo Dimensions,,,,,,,
